customer_key,customer_number,customer_name,age,age_group,customer_segment,last_order_date,recency,total_orders,total_sales,total_quantity,total_products,lifespan,avg_order_value,avg_monthly_spend
1,AW00011000,Jon Yang,,50 and above,VIP,2013-05-03,157,3,8249,8,8,28,2749.67,294.61
2,AW00011001,Eugene Huang,,50 and above,VIP,2013-12-10,150,3,6384,11,10,35,2128.0,182.4
3,AW00011002,Ruben Torres,,50 and above,VIP,2013-02-23,160,3,8114,4,4,25,2704.67,324.56
4,AW00011003,Christy Zhu,,50 and above,VIP,2013-05-10,157,3,8139,9,9,29,2713.0,280.66
5,AW00011004,Elizabeth Johnson,,50 and above,VIP,2013-05-01,157,3,8196,6,6,28,2732.0,292.71
6,AW00011005,Julio Ruiz,,50 and above,VIP,2013-05-02,157,3,8121,6,6,29,2707.0,280.03
7,AW00011006,Janet Alvarez,,50 and above,VIP,2013-05-14,157,3,8119,5,5,28,2706.33,289.96
8,AW00011007,Marco Mehta,,50 and above,VIP,2013-03-19,159,3,8211,8,8,26,2737.0,315.81
9,AW00011008,Rob Verhoff,,50 and above,VIP,2013-03-02,159,3,8106,7,7,26,2702.0,311.77
10,AW00011009,Shannon Carlson,,50 and above,VIP,2013-05-09,157,3,8091,5,5,28,2697.0,288.96
11,AW00011010,Jacquelyn Suarez,,50 and above,VIP,2013-05-23,157,3,8088,4,4,28,2696.0,288.86
12,AW00011011,Curtis Lu,,50 and above,VIP,2013-03-19,159,3,8133,4,4,27,2711.0,301.22
13,AW00011012,Lauren Walker,,50 and above,New,2013-10-15,152,2,81,5,5,7,40.5,11.57
14,AW00011013,Ian Jenkins,,50 and above,New,2014-01-21,149,2,114,5,5,9,57.0,12.67
15,AW00011014,Sydney Bennett,,50 and above,New,2013-04-30,158,2,138,6,5,1,69.0,138.0
16,AW00011015,Chloe Young,,50 and above,New,2013-01-18,161,1,2501,3,3,0,2501.0,2501.0
17,AW00011016,Wyatt Hill,,50 and above,New,2013-02-09,160,1,2332,3,3,0,2332.0,2332.0
18,AW00011017,Shannon Wang,,50 and above,VIP,2013-10-14,152,3,6434,4,4,33,2144.67,194.97
19,AW00011018,Clarence Rai,,50 and above,VIP,2013-10-24,152,3,6533,7,7,33,2177.67,197.97
20,AW00011019,Luke Lal,,50 and above,New,2014-01-12,149,17,880,33,20,11,51.76,80.0
21,AW00011020,Jordan King,,50 and above,New,2012-12-29,162,1,2317,2,2,0,2317.0,2317.0
22,AW00011021,Destiny Wilson,,50 and above,New,2013-01-23,161,1,2372,3,3,0,2372.0,2372.0
23,AW00011022,Ethan Zhang,,50 and above,New,2013-01-20,161,1,2322,2,2,0,2322.0,2322.0
24,AW00011023,Seth Edwards,,50 and above,New,2014-01-14,149,2,122,6,6,11,61.0,11.09
25,AW00011024,Russell Xie,,50 and above,New,2013-07-26,155,2,56,6,5,1,28.0,56.0
26,AW00011025,Alejandro Beck,,50 and above,VIP,2013-10-25,152,3,6577,6,6,33,2192.33,199.3
27,AW00011026,Harold Sai,,50 and above,VIP,2013-10-15,152,3,6575,7,7,33,2191.67,199.24
28,AW00011027,Jessie Zhao,,50 and above,VIP,2013-10-24,152,3,6591,9,9,33,2197.0,199.73
29,AW00011028,Jill Jimenez,,50 and above,VIP,2013-10-07,152,3,6474,5,5,33,2158.0,196.18
30,AW00011029,Jimmy Moreno,,50 and above,VIP,2013-11-11,151,3,6565,7,7,34,2188.33,193.09
31,AW00011030,Bethany Yuan,,50 and above,VIP,2013-11-09,151,3,6471,4,4,33,2157.0,196.09
32,AW00011031,Theresa Ramos,,50 and above,VIP,2013-11-13,151,3,6478,6,6,33,2159.33,196.3
33,AW00011032,Denise Stone,,50 and above,VIP,2013-11-08,151,3,6525,10,10,33,2175.0,197.73
34,AW00011033,Jaime Nath,,50 and above,VIP,2013-11-05,151,3,6495,7,7,33,2165.0,196.82
35,AW00011034,Ebony Gonzalez,,50 and above,VIP,2013-11-10,151,3,6491,4,4,33,2163.67,196.7
36,AW00011035,Wendy Dominguez,,50 and above,VIP,2013-11-15,151,3,6451,5,5,33,2150.33,195.48
37,AW00011036,Jennifer Russell,,50 and above,New,2013-01-22,161,1,2355,2,2,0,2355.0,2355.0
38,AW00011037,Chloe Garcia,,50 and above,New,2013-01-20,161,1,2374,7,7,0,2374.0,2374.0
39,AW00011038,Diana Hernandez,,50 and above,VIP,2013-11-12,151,3,6437,3,3,33,2145.67,195.06
40,AW00011039,Marc Martin,,50 and above,VIP,2013-11-11,151,3,6636,9,8,33,2212.0,201.09
41,AW00011040,Jesse Murphy,,50 and above,New,2013-04-03,158,1,2351,3,3,0,2351.0,2351.0
42,AW00011041,Amanda Carter,,50 and above,New,2013-01-14,161,1,2381,3,3,0,2381.0,2381.0
43,AW00011042,Megan Sanchez,,50 and above,New,2013-10-17,152,2,3112,3,3,9,1556.0,345.78
44,AW00011043,Nathan Simmons,,50 and above,New,2013-08-18,154,2,48,3,3,3,24.0,16.0
45,AW00011044,Adam Flores,,50 and above,VIP,2013-11-08,151,3,6515,7,7,33,2171.67,197.42
46,AW00011045,Leonard Nara,,50 and above,New,2013-10-29,152,2,115,4,4,6,57.5,19.17
47,AW00011046,Christine Yuan,,50 and above,VIP,2013-11-12,151,3,6616,6,6,33,2205.33,200.48
48,AW00011047,Jaclyn Lu,,50 and above,VIP,2013-11-19,151,3,6582,4,4,33,2194.0,199.45
49,AW00011048,Jeremy Powell,,50 and above,VIP,2013-12-25,150,3,6498,8,8,34,2166.0,191.12
50,AW00011049,Carol Rai,,50 and above,New,2013-10-29,152,2,81,5,5,7,40.5,11.57
51,AW00011050,Alan Zheng,,50 and above,VIP,2013-11-19,151,3,5007,6,6,33,1669.0,151.73
52,AW00011051,Daniel Johnson,,50 and above,New,2014-01-01,149,2,124,5,5,1,62.0,124.0
53,AW00011052,Heidi Lopez,,50 and above,VIP,2013-05-27,157,3,8131,7,7,27,2710.33,301.15
54,AW00011053,Ana Price,,50 and above,New,2013-01-17,161,1,2330,2,2,0,2330.0,2330.0
55,AW00011054,Deanna Munoz,,50 and above,VIP,2013-05-30,157,3,8223,6,6,27,2741.0,304.56
56,AW00011055,Gilbert Raje,,50 and above,VIP,2013-06-07,156,3,8168,8,8,29,2722.67,281.66
57,AW00011056,Michele Nath,,50 and above,VIP,2013-05-31,157,3,8207,8,8,27,2735.67,303.96
58,AW00011057,Carl Andersen,,50 and above,VIP,2013-05-21,157,3,8088,4,4,27,2696.0,299.56
59,AW00011058,Marc Diaz,,50 and above,VIP,2013-06-04,156,3,8248,6,6,27,2749.33,305.48
60,AW00011059,Ashlee Andersen,,50 and above,New,2013-03-16,159,3,117,7,6,1,39.0,117.0
61,AW00011060,Jon Zhou,,50 and above,VIP,2013-06-25,156,3,8153,6,6,27,2717.67,301.96
62,AW00011061,Todd Gao,,50 and above,VIP,2013-06-14,156,3,8129,6,6,27,2709.67,301.07
63,AW00011062,Noah Powell,,50 and above,New,2013-01-07,161,1,2352,3,3,0,2352.0,2352.0
64,AW00011063,Angela Murphy,,50 and above,New,2013-01-12,161,1,2373,5,5,0,2373.0,2373.0
65,AW00011064,Chase Reed,,50 and above,New,2013-01-25,161,1,2305,2,2,0,2305.0,2305.0
66,AW00011065,Jessica Henderson,,50 and above,New,2014-01-10,149,2,202,5,4,11,101.0,18.36
67,AW00011066,Grace Butler,,50 and above,New,2013-09-19,153,2,81,5,5,4,40.5,20.25
68,AW00011067,Caleb Carter,,50 and above,New,2014-01-12,149,2,105,6,6,5,52.5,21.0
69,AW00011068,Tiffany Liang,,50 and above,New,2013-10-08,152,3,113,9,8,6,37.67,18.83
70,AW00011069,Carolyn Navarro,,50 and above,VIP,2013-06-04,156,3,8104,3,3,26,2701.33,311.69
71,AW00011070,Willie Raji,,50 and above,VIP,2013-06-26,156,3,8165,10,9,26,2721.67,314.04
72,AW00011071,Linda Serrano,,50 and above,New,2013-12-01,150,3,110,7,6,9,36.67,12.22
73,AW00011072,Casey Luo,,50 and above,VIP,2013-06-15,156,3,8194,7,7,27,2731.33,303.48
74,AW00011073,Amy Ye,,50 and above,New,2013-08-21,154,3,192,10,9,5,64.0,38.4
75,AW00011074,Levi Arun,,50 and above,New,2013-05-27,157,3,94,7,7,2,31.33,47.0
76,AW00011075,Felicia Jimenez,,50 and above,VIP,2013-06-24,156,3,8068,5,5,26,2689.33,310.31
77,AW00011076,Blake Anderson,,50 and above,VIP,2013-06-21,156,3,8159,4,4,26,2719.67,313.81
78,AW00011077,Leah Ye,,50 and above,VIP,2013-06-12,156,3,8169,5,5,26,2723.0,314.19
79,AW00011078,Gina Martin,,50 and above,New,2014-01-28,149,17,912,31,23,11,53.65,82.91
80,AW00011079,Donald Gonzalez,,50 and above,New,2014-01-01,149,3,58,5,5,10,19.33,5.8
81,AW00011080,Damien Chander,,50 and above,VIP,2013-06-23,156,3,8204,7,7,26,2734.67,315.54
82,AW00011081,Savannah Baker,,50 and above,New,2013-04-13,158,2,104,5,5,2,52.0,52.0
83,AW00011082,Angela Butler,,50 and above,New,2013-11-06,151,2,3110,6,6,10,1555.0,311.0
84,AW00011083,Alyssa Cox,,50 and above,New,2013-11-08,151,2,3137,5,5,10,1568.5,313.7
85,AW00011084,Lucas Phillips,,50 and above,New,2013-11-21,151,2,3078,5,5,10,1539.0,307.8
86,AW00011085,Emily Johnson,,50 and above,New,2014-01-08,149,2,129,5,5,1,64.5,129.0
87,AW00011086,Ryan Brown,,50 and above,New,2013-12-21,150,2,153,6,6,5,76.5,30.6
88,AW00011087,Tamara Liang,,50 and above,New,2013-08-09,154,2,200,4,4,6,100.0,33.33
89,AW00011088,Hunter Davis,,50 and above,New,2013-11-12,151,2,3176,7,7,10,1588.0,317.6
90,AW00011089,Abigail Price,,50 and above,New,2013-11-18,151,2,3188,7,7,11,1594.0,289.82
91,AW00011090,Trevor Bryant,,50 and above,VIP,2013-11-21,151,3,6703,6,6,27,2234.33,248.26
92,AW00011091,Dalton Perez,,50 and above,Regular,2014-01-08,149,28,1186,59,25,12,42.36,98.83
93,AW00011092,Cheryl Diaz,,50 and above,VIP,2013-06-21,156,3,8110,5,5,26,2703.33,311.92
94,AW00011093,Aimee He,,50 and above,VIP,2013-06-08,156,3,8180,7,7,26,2726.67,314.62
95,AW00011094,Cedric Ma,,50 and above,New,2014-01-11,149,3,236,8,8,9,78.67,26.22
96,AW00011095,Chad Kumar,,50 and above,VIP,2013-06-25,156,3,8158,7,7,26,2719.33,313.77
97,AW00011096,Andr├®s Anand,,50 and above,VIP,2013-07-30,155,3,8063,4,4,27,2687.67,298.63
98,AW00011097,Edwin Nara,,50 and above,VIP,2013-07-24,155,3,8099,5,5,27,2699.67,299.96
99,AW00011098,Mallory Rubio,,50 and above,New,2013-10-16,152,3,89,4,4,8,29.67,11.13
100,AW00011099,Adam Ross,,50 and above,VIP,2013-07-01,155,3,8216,9,8,27,2738.67,304.3
101,AW00011100,Latasha Navarro,,50 and above,VIP,2013-08-07,154,3,8172,7,7,28,2724.0,291.86
102,AW00011101,Abby Sai,,50 and above,VIP,2013-06-29,156,3,8262,7,7,26,2754.0,317.77
103,AW00011102,Julia Nelson,,50 and above,New,2013-12-09,150,3,103,5,5,5,34.33,20.6
104,AW00011103,Cassie Chande,,50 and above,VIP,2013-06-06,156,3,8182,8,8,26,2727.33,314.69
